name,l_min,l_max,b_min,b_max,d_min,d_max,plx_err_max,pml_min,pml_max,colour
Cyg X,74.5,82,-2.5,5,0.9,2.000,0.6,-9,-0,blue
IC 348,159.9,161.1,-19.5,-17,0.2,0.3,0.55,4,10,blue
Sco-Cen,284,360,-23.7,37,0,0.2,0.55,-51.1,-15.6,blue
IC 1396,97.17,102.21,3.36,5.36,0.80,0.999,0.5,-6.7,-2.0,purple
NGC 2264,201.6,204.2,1,3,0.75,1.0,0.5,1.3,3.0,green
CrA,359.4,360,-18.35,-16.95,0,0.2,0.5,-30,0.5,blue
M17,14.7,15.5,-1.2,-0.3,1.5,2.0,0.5,-4,1,blue
Taurus,167,183,-21,-8,0.1285,0.199,0.5,0,32,blue
Canis Major OB1,222.5,228,-8,5,0.521,1.80,0.7,-8.2,4,blue
Orion,197,216,-232,-13,0.2,0.380,0.406,-4,4.5,pink
PMC,156,161,-23,-15,0.277,0.311,0.55,4,14,blue,
N. A. Neb,83,87,-3,1,0.780,0.820,0.25,-6,-1.2,blue,
IC 405/410/417,172.7,174,-4,4,1.25,2.0,1,-0.8,3.6,purple
ASCC 32,230,244,-16,-2,0.760,1.0,0.3,-6.1,-3.5,blue
Vela (OB2),261,265,-10,-5,0.318,0.418,0.8,-16,-2,blue
Vulpecula OB1,58.2,62.2,-1.2,0.6,1.1,2,0.5,-9,-2.5,blue
Sh2-82,52.3,54.1,-1.0,0.8,1.1,2,0.62,-6.4,-4.6,blue
Serpens,16,42,-21,25,0.3,0.99,0.8,-12,-3,blue
Alessi 62,45,61,-2.5,14,0.36,0.856,0.55,-9.2,-4.6,blue
Cepheus,101,117,0,12,0.18,0.749,0.55,1,9,blue
Lac OB1,88,106,-23,-6.5,0.4,0.749,0.55,-5.6,-1.5,blue